"forecast_summary","today_comment","tomorrow_comment","extended_comment","forecast_summary_es","today_comment_es","tomorrow_comment_es","extended_comment_es"
"Light to moderate smoke in the morning and overnight hours. Smoke will begin to clear around 11 am and settle back in around 6 pm.","Moderate smoke in the morning and overnight hours. Smoke will begin to clear around 11 am and settle back in around 6 pm.","Moderate smoke in the morning and overnight hours. Smoke will begin to clear around 11 am and settle back in around 6 pm.","Moderate smoke in the morning and overnight hours. Smoke will begin to clear around 11 am and settle back in around 6 pm.","Habrá humo ligero a moderado en la mañana y durante la noche. El humo comenzará a disiparse alrededor de las 11 am y se asentará nuevamente alrededor de las 6 pm.","Humo moderado en la mañana y durante la noche. El humo comenzará a disiparse alrededor de las 11 am y se asentará nuevamente alrededor de las 6 pm.","Humo moderado en la mañana y durante la noche. El humo comenzará a disiparse alrededor de las 11 am y volverá a asentarse alrededor de las 6 pm.","Humo moderado en la mañana y durante la noche. El humo comenzará a disiparse alrededor de las 11 am y se volverá a asentar alrededor de las 6 pm."
"Light to moderate smoke overnight from local activity (fireplaces, firepits, etc.) ","Light smoke is possible overnight.","Light smoke is possible overnight.","Light smoke is possible overnight.","Humo ligero a moderado durante la noche debido a actividades locales (chimeneas, fogatas, etc.)","Es posible que haya humo ligero durante la noche.","Es posible que haya humo ligero durante la noche.","Es posible que haya humo ligero durante la noche."
"Light smoke possible overhead in the afternoon.","Light smoke possible overhead in the afternoon.","Light smoke possible overhead in the afternoon.","Light smoke possible overhead in the afternoon.","Es posible que haya humo ligero durante la noche por la tarde en el cielo.","Es posible que haya humo ligero durante la noche por la tarde en el cielo.","Es posible que haya humo ligero durante la noche por la tarde en el cielo.","Es posible que haya humo ligero durante la noche por la tarde en el cielo."
"Light to moderate smoke overnight from local activity (fireplaces, firepits, etc.) ","Light smoke is possible overnight.","Light smoke is possible overnight.","Light smoke is possible overnight.","Humo ligero a moderado durante la noche debido a actividades locales (chimeneas, fogatas, etc.)","Es posible que haya humo ligero durante la noche.","Es posible que haya humo ligero durante la noche.","Es posible que haya humo ligero durante la noche."
"Possible light Smoke later today with south-southwest winds.","Posible light smoke possible overnight.","Light smoke possible in the afternoon.","Light smoke possible overnight.","Posible humo ligero más tarde hoy con vientos del sur-suroeste.","Posible humo ligero durante la noche.","Posible humo ligero en la tarde.","Posible humo ligero durante la noche."
"Possible light Smoke later today with south-southwest winds.","Posible light smoke possible overnight.","Light smoke possible in the afternoon.","Light smoke possible overnight.","Posible humo ligero más tarde hoy con vientos del sur-suroeste.","Posible humo ligero posible durante la noche.","Posible humo ligero en la tarde.","Posible humo ligero durante la noche."
"Periodic haze possible with occasional hours in MODERATE","","","","Posible neblina periódica con horas ocasionales en MODERADA","","",""
"Occasional hours of MODERATE","","","Smoke is likely to increase as the burned vegetation dries out.","Horas ocasionales de calidad del aire MODERADA","","","Es probable que el humo aumente a medida que la vegetación quemada se seque."
"GOOD air quality","","","","Calidad del aire BUENO","","",""
"GOOD air quality, no impacts from the Happy Fire","","","","Calidad del aire BUENO, sin impactos del Happy Fire.","","",""
"GOOD air quality, no impacts from the Happy Fire","","","","Calidad del aire BUENO, sin impactos del Incendio Happy.","","",""
"Occasional hours of MODERATE","","","Smoke may increase as the burned vegetation dries out.","Horas ocasionales de calidad del aire MODERADA","","","El humo puede aumentar a medida que la vegetación quemada se seca."
"Periodic haze possible with occasional hours in MODERATE","","","","Posible bruma periódica con horas ocasionales en MODERADA","","",""
"Occasional hours of MODERATE","","","Smoke may increase as the burned vegetation dries out.","Horas ocasionales de calidad del aire MODERADA","","","El humo puede aumentar a medida que la vegetación quemada se seca."
"GOOD air quality, no impacts from the Happy Fire","","","","Calidad del aire BUENA, sin impactos del Incendio Happy.","","",""
"GOOD air quality","","","","Calidad del aire BUENA","","",""
"GOOD air quality, no impacts from the Happy Fire","","","","Calidad del aire BUENA, sin impactos del Incendio Happy.","","",""
"Occasional hours of MODERATE","","","Smoke is likely to increase as the burned vegetation dries out.","Horas ocasionales de calidad del aire MODERADA","","","Es probable que el humo aumente a medida que la vegetación quemada se seque."
"GOOD air quality, no impacts from the Happy Fire","","","","Calidad del aire BUENO, sin impactos del Happy Fire.","","",""
"Occasional hours of MODERATE","","","Smoke may increase as the burned vegetation dries out.","Horas ocasionales de calidad del aire MODERADA","","","El humo puede aumentar a medida que la vegetación quemada se seca."
"Occasional hours of MODERATE","","","Smoke is likely to increase as the burned vegetation dries out.","Horas ocasionales de calidad del aire MODERADA","","","Es probable que el humo aumente a medida que la vegetación quemada se seque."
"GOOD air quality, no impacts from the Happy Fire","","","","Calidad del aire BUENO, sin impactos del incendio Happy.","","",""
"GOOD air quality","","","","Calidad del aire BUENO","","",""
"Periodic haze possible with occasional hours in MODERATE","","","","Posible neblina periódica con horas ocasionales en MODERADA.","","",""
"GOOD air quality, no impacts from the Happy Fire","","","","Calidad del aire BUENO, sin impactos del Happy Fire.","","",""
"Occasional hours of MODERATE","","","Smoke is likely to increase as the burned vegetation dries out.","Horas ocasionales de calidad del aire MODERADA","","","Es probable que el humo aumente a medida que la vegetación quemada se seque."
"GOOD air quality","","","","Calidad del aire BUENO","","",""
"Periodic haze possible with occasional hours in MODERATE","","","","Posible neblina periódica con horas ocasionales en MODERADA","","",""
"GOOD air quality, no impacts from the Happy Fire","","","","Calidad del aire BUENO, sin impactos del Happy Fire.","","",""
"Occasional hours of MODERATE","","","Smoke may increase as the burned vegetation dries out.","Horas ocasionales de calidad del aire MODERADA","","","El humo puede aumentar a medida que la vegetación quemada se seca."
"GOOD air quality in the area today with southwest winds.","GOOD air quality Today.","GOOD air quality to continue.","GOOD air quality to continue with southwest winds.","Calidad del aire BUENO en el área hoy con vientos del suroeste.","Calidad del aire BUENA hoy.","La calidad del aire BUENO continuará.","La calidad del aire BUENO continuará con vientos del suroeste."
"GOOD air quality today.","GOOD air Quality during the day with S-SW winds 5-10 in the afternoon.","GOOD air quality today.","","Calidad del aire BUENO hoy.","Calidad del aire BUENO durante el día con vientos S-SO de 5-10 por la tarde.","Calidad del aire BUENO hoy.",""
"GOOD air quality in the area today.","GOOD air quality to continue.","GOOD air quality to continue.","","Calidad del aire BUENO en el área hoy.","La calidad del aire BUENO continuará.","La calidad del aire BUENO continuará.",""
"GOOD air quality with SW-W winds today.","GOOD air quality today.","GOOD air quality today with southwest-west winds.","GOOD air quality today in the area.","Calidad del aire BUENO con vientos de SW-W hoy.","Calidad del aire BUENO hoy.","Calidad del aire BUENA hoy con vientos de suroeste a oeste.","Calidad del aire BUENO hoy en la zona."
"GOOD air quality will continue today with west- southwest winds.","GOOD air quality today.","GOOD air quality continues today.","GOOD air quality to continue.","La calidad del aire BUENO continuará hoy con vientos del oeste-suroeste.","Calidad del aire BUENO hoy.","La calidad del aire BUENO continúa hoy.","La calidad del aire BUENO continuará."
"GOOD air quality today with southwest-west winds.","GOOD Air quality today with SW winds.","GOOD air quality to continue today.","","Calidad del aire BUENO hoy con vientos de suroeste a oeste.","Calidad del aire BUENO hoy con vientos del suroeste.","La calidad del aire BUENO continuará hoy.",""
"GOOD air quality in the area today with southwest winds.","GOOD air quality Today.","GOOD air quality to continue.","GOOD air quality to continue with southwest winds.","BUENA calidad del aire en el área hoy con vientos del suroeste.","BUENA calidad del aire hoy.","La BUENA calidad del aire continuará.","La BUENA calidad del aire continuará con vientos del suroeste."
